bond_sym_id	gvkey	industry
ICY.GA	117263	Food Products
ID.GB	63959	Computers
IDEV.GB	20983	Pharmaceutical Products
IDEV.GC	20983	Pharmaceutical Products
IDPH.GB	24468	Pharmaceutical Products
IDPH.GD	24468	Pharmaceutical Products
IDR.GB	21149	Entertainment
IDR.GD	21149	Entertainment
IDR.GF	21149	Entertainment
IDTI4425692	6003	Electrical Equipment
IEE.GA	66371	Construction
IEE.GB	66371	Construction
IEX.AA	15267	Machinery
IEX.AB	15267	Machinery
IEX.GA	15267	Machinery
IFF.GA	6078	Chemicals
IFF3990102	6078	Chemicals
IFF4497234	6078	Chemicals
IFMI3694595	175674	Trading
IFNY.GB	23561	Petroleum and Natural Gas
IFOX.GB	26557	Business Services
IFSI.AA	6034	Textiles
IFSI.GA	6034	Textiles
IFSI.GB	6034	Textiles
IFSI.GD	6034	Textiles
IFSI.GF	6034	Textiles
IFSI.GJ	6034	Textiles
IFSI.GL	6034	Textiles
IFSIA.GB	6034	Textiles
IFSIA.GD	6034	Textiles
IFT4210885	185416	Banking
IGAE.AA	64165	Business Services
IGL.GA	14363	Chemicals
IGL.GC	14363	Chemicals
IGL.GD	14363	Chemicals
IGL.GF	14363	Chemicals
IGL.GG	14363	Chemicals
IGL.GH	14363	Chemicals
IGL.GJ	14363	Chemicals
IGL.GK	14363	Chemicals
IGL.GL	14363	Chemicals
IGL.GM	14363	Chemicals
IGL.GO	14363	Chemicals
IGL.GP	14363	Chemicals
IGL.GQ	14363	Chemicals
IGL.GR	14363	Chemicals
IGMO.AA	63919	Wholesale
IGT.GA	6097	Entertainment
IGT.GB	6097	Entertainment
IGT.GC	6097	Entertainment
IGT.GD	6097	Entertainment
IGT.GE	6097	Entertainment
IGT.GG	6097	Entertainment
IGT.GH	6097	Entertainment
IGT.GI	6097	Entertainment
IGT.GJ	6097	Entertainment
IGT4050960	6097	Entertainment
IGTE.AC	64165	Business Services
IGTE.AD	64165	Business Services
IGTE4109109	64165	Business Services
