bond_sym_id	gvkey	industry
JPM.MDA	2968	Banking
JPM.MDB	2968	Banking
JPM.MGL	11818	Trading
JPM.MML	11818	Trading
JPM.MRN	2968	Banking
JPM.MXL	2968	Banking
JPM.NAN	2968	Banking
JPM.QDN	2968	Banking
JPM.QF	2968	Banking
JPM.QP	2968	Banking
JPM.QS	2968	Banking
JPM.QY	2968	Banking
JPM.QZZ	2968	Banking
JPM.RG	2968	Banking
JPM.RL	2968	Banking
JPM.RM	2968	Banking
JPM.SCH	2968	Banking
JPM.SEM	2968	Banking
JPM.SQ	2968	Banking
JPM.TF	2968	Banking
JPM.TH	2968	Banking
JPM.TZ	2968	Banking
JPM.UG	2968	Banking
JPM.VI	2968	Banking
JPM.VJ	2968	Banking
JPM.VX	2968	Banking
JPM.WT	2968	Banking
JPM.XG	2968	Banking
JPM.YH	2968	Banking
JPM.YQ	2968	Banking
JPM.YZ	2968	Banking
JPM.ZA	2968	Banking
JPM.ZB	2968	Banking
JPM.ZZ	2968	Banking
JPM3905023	2968	Banking
JPM3957082	2968	Banking
JPM3957083	2968	Banking
JPM3957084	2968	Banking
JPM3999853	2968	Banking
JPM4005051	2968	Banking
JPM4040688	2968	Banking
JPM4057471	2968	Banking
JPM4089759	2968	Banking
JPM4091126	2968	Banking
JPM4091128	2968	Banking
JPM4091129	2968	Banking
JPM4091130	2968	Banking
JPM4091131	2968	Banking
